sentence1,sentence2,label
"Какие самые вдохновляющие мотивационные тексты вы когда-либо писали, читали или слышали?","Какие самые вдохновляющие мотивационные слова вы когда-либо слышали, читали или писали?",1
Армитаж встретился с представителями южной Родезии и губернатором Ниасаланда сэром Артуром Бенсоном и вынашивал планы концентрации федеральных войск в северной Родезии.,Армитаж встречался с официальными представителями Южной Родезии и губернатором Северной Родезии сэром Артуром Бенсоном и составил планы по концентрации федеральных войск в Ньясаленде.,0
Игра была опубликована 2 октября 2014 года в Северной Америке и Европе и в Японии в июне 2015 года.,Игра была опубликована 2 октября 2014 г. в Японии и в Северной Америке и Европе в июне 2015 г.,0
Польша запретила «Ночным волкам» проезд по своей территории,"""Ночные волки"" проигнорируют запрет МИД Польши на въезд",0
"AMBIT - это символический язык программирования, введенный Карлосом Кристенсеном (Carlos Christensen) из Массачусетского технологического института в 1964 году для исторических вычислений.","AMBIT - это символический язык программирования, который был введен в 1964 году Карлосом Кристенсеном (Carlos Christensen) из Массачусетского технологического института (Massachusetts Associates) для исторического калькуляции.",1
Число жертв землетрясения в Непале составило 4485 человек,Власти Непала объявили траур по жертвам землетрясения ,0
"""Человеку Березовского в ФСБ"" дали 2 года колонии.",Доверенному лицу Березовского в ФСБ дали два года колонии.,1
"В 2010 году Нью-Йоркский университет одержал победу над Гарвардским университетом со счетом 3: 1-1, чтобы выиграть свой первый национальный чемпионат.","В 2010 году Нью-Йоркский университет победил Гарвардский университет со счетом 3: 1-1, выиграв свой первый национальный чемпионат.",1
22 декабря 2015 года ракета-носитель-преемник Falcon 9 впервые успешно вывела на орбиту свою первую ступень.,Ракета-преемник Falcon 9 впервые успешно приземлилась на землю в ходе своего четвертого полета 22 декабря 2015 года.,0
"Аскона С также продавалась в Южной Африке, где она была собрана компанией GM South Africa, заменившей Chevrolet Ascona, которая была основана на асконе Б.","Аскона С также продавалась в Южной Африке, где она была собрана компанией GM South Africa и заменила Chevrolet Ascona, основанную на асконе Б.",1
В Ленобласти мужчина поджег себя на глазах полицейских.,В Ленобласти мужчина поджег себя возле отдела полиции.,1
Назначен новый директор Ла Скала.,"Назначен новый директор театра ""Ла Скала"".",1
"Издание 1880 года, переведенное Питером Кристи и переработанное и отредактированное Фредериком Кройфи, доступно в Интернете.","Выпуск 1880 года, переведенный Фредериком Кройфи и переработанный и изданный Питером Кристи, доступен в Интернете.",0
"Кэмпбелл вступила в брак с Франсом Оуэном в 1835 г. У них было семь детей: Мария, Маргарет, Фанни, Уильям, Джозеф, Джон Оуэн и Лемьюэль.","В 1835 году, Кэмпбелл вышла замуж за Франса Оуэна, у которого было семь детей: Мэри, Маргарет, Фанни, Уильям, Джозеф, Джон Оуэн и Лемюэль.",0
Прямая линия с В.Путиным состоится 25 апреля.,"Смотрите, как прошел - На какие вопросы ответил ПМЭФ-2014.",0
Память погибших в Одессе почтили у посольства Украины в Москве,В Одессе почтили память погибших в Доме профсоюзов,0
Бывший президент Бренда Куекс получила премию Clean50 Award за ее работу по продвижению устойчивого развития и чистого предпринимательства в Канаде в 2013 году.,Бывший президент Бренда Куекс получила премию Clean50 Award за свою работу по продвижению чистого развития и устойчивого развития в Канаде в 2013 году.,0
"Какие меры принимает индийское правительство, чтобы новые банкноты достоинством 500 / 2000 рупий не подверглись подделке?","Каковы новые меры правительства, которым не будут противопоставлены банкноты индийских рупий номиналом 500 / 2000?",0
"Где расположена Монголия? Считается ли она развивающейся страной, и почему?","Где расположена Монголия? Считается ли она развивающейся страной, и почему?",1
Соперники Назарбаева проголосовали на выборах президента Казахстана,ЦИК объявил о победе Назарбаева на выборах в Казахстане,0
Президент РФ оценил потери от газовой скидки Киеву в 10 млрд долл.,Путин оценил потери от газовой скидки Киеву в десять миллиардов долларов.,1
"МИД РФ хочет объяснений из-за отказа во въезде ""Русским мотоциклистам""","МИД РФ: ФРГ должен объяснить отказ во въезде ""Русских мотоциклистов""",1
Последние годы своей жизни он провел во Франции и погиб в Париже.,Последние годы своей жизни он провел в Париже и скончался во Франции.,0
Производство водки в России сократилось на треть.,Топ-10 производителей водки в России*.,0
"Согласно традиционным определениям, несколько видов относятся к семейству из Южной Америки, один - из Африки, несколько - из Азии и два - из Австралии.","По традиционному определению, несколько видов принадлежат к семье из Австралии, один - из Африки, несколько - из Азии и два - из Южной Америки.",0
Путин допустил повышение пенсионного возраста в будущем,Путин: Россия пока не готова к резкому повышению пенсионного возраста,0
"Ауб Ромеро / Aub Romero (род. 24 октября 1989 года в Мексике, Мексика, Д.Ф.) - мексиканская актриса.","Ауб Ромеро / Aub Romero (род. 24 октября 1989 года в Мехико, округ Колумбия, Мексика) - мексиканская актриса.",1
В новогоднюю ночь во Франции сожгли больше тысячи машин.,В новогоднюю ночь во Франции сожгли 1193 автомобиля.,1
В Канаде двое заключенных сбежали из тюрьмы на вертолете.,В Канаде арестован второй сбежавший на вертолете заключенный.,0
"В 1928 году вышло детское издание стихов из ""Невинности"" Уильяма Блейка, отобранных и проиллюстрированных Бьянко.","В 1928 году, было опубликовано детское издание стихов Уильяма Блэйкса ""Невинность"", выбранных и проиллюстрированных Бьянко.",1
"Аманда Розарио - британо-индийская актриса, снимавшаяся в фильмах на хинди и тамил.","Аманда Росарио - тамильско-британская актриса, сыграла в фильмах на хинди и индийских кинолентах.",0
"В его семью из Индианы приехали в Шотландию в 1842 году, когда ему было девять лет.","В 1842 году его семья эмигрировала из Шотландии в Индиану, когда ему было девять лет.",0
В Афганистане вырастили рекордный урожай опийного мака.,"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?""",0
"""Газпром"" введет в эксплуатацию Турецкий поток в декабре 2016 года",«Газпром» начнет поставки газа по «Турецкому потоку» в 2016 году,1
"Что делать с двумя «Мистралями», если их не отдадут России?",Власти сообщают о минной опасности в районе Кузьминского полигона,0
"Фотография для обложки сингла Remember to Forget, кажется, была записана во время съемок клипа Happy?.","Фотография для обложки сингла Remember to Forget, кажется, была сделана во время съемок клипа Happy?.",1
Госдума разрешила регионам отменять прямые выборы губернаторов.,Госдума разрешила регионам отменять выборы губернаторов.,1
Взрыв газа в Красноярске: семеро пострадавших.,Семь человек пострадали при взрыве газа в Красноярске.,1
Медведев выразил соболезнования в связи с землетрясением в Непале,"Россия запустила ""горячую линию"" в связи с землетрясением в Непале",0
"В 1871 г. он по состоянию здоровья перебрался в Южную Калифорнию, где обосновался в Санта-Барбаре.","В 1871 году из-за состояния здоровья он переехал в Санта-Барбару, где и оседлал в южной Калифорнии.",0
"Каролин Возняцки завоевала титул, победив в финале Веру Звонареву со счетом 6: 3, 3: 6, 6-3.","Вера Звонарева завоевала титул, обыграв в финале Каролин Возняцки - 6: 3, 3: 6, 6-3.",0
"Тринадцатая эскадрилья боевых авианосцев в сентябре 1985 года была объединена с 913-й эскадрильей дозаправки в воздухе, но объединенная эскадрилья с тех пор не задействована.","13-я эскадрилья авианосцев была объединена в сентябре 1985 года с 913-й авиационной эскадрильей дозаправки, но с того момента объединенная эскадрилья более не действует.",1
В Москве объявлены лауреаты премии Станиславского.,Ксения Раппопорт стала лауреатом премии Станиславского.,0
"Ванкувер также 4.9, Калгари 5.6, Виннипег 5,6, Торонто 7.9 и Монреаль 11.2, а Сарния 12.7.","Ванкувер также 4.9, Калгари было 5.6, Виннипег 5.6, Монреаль 7.9, Торонто 11.2, и Сарния 12.7.",0
